Customer_ID,Name,Age,Gender,Region,Purchase_Date,Product_Category,Total_Spending,Month,Year,Age_Group
9a61b402,Adam White,56,Female,North,2023-01-01,Electronics,624.71,1,2023,"[50, 60)"
26468574,Brian Ball,69,Female,South,2023-01-02,Electronics,352.21,1,2023,"[60, 70)"
4ed7e828,Tracy Lozano,46,Female,East,2023-01-03,Electronics,873.12,1,2023,"[40, 50)"
0703ab7a,Angela Browning,32,Female,South,2023-01-04,Books,993.67,1,2023,"[30, 40)"
9b81f7ec,Lauren Martinez,60,Male,South,2023-01-05,Books,764.81,1,2023,"[60, 70)"
9c215e10,Julie Castro,25,Male,East,2023-01-06,Grocery,135.96,1,2023,"[20, 30)"
71786ba4,Steven Alvarez,38,Male,South,2023-01-07,Clothing,324.25,1,2023,"[30, 40)"
afcbe77b,Jody Wheeler,56,Female,East,2023-01-08,Home Decor,153.65,1,2023,"[50, 60)"
0e5184ff,Meghan Pierce,36,Male,South,2023-01-09,Home Decor,667.99,1,2023,"[30, 40)"
85ce3eff,Caleb Shaw,40,Male,East,2023-01-10,Home Decor,776.93,1,2023,"[40, 50)"
128eafdf,Leslie James,28,Male,North,2023-01-11,Grocery,929.39,1,2023,"[20, 30)"
b2a03608,Kristin Lynn,28,Male,West,2023-01-12,Books,466.26,1,2023,"[20, 30)"
2f065fcd,Chad West,41,Female,East,2023-01-13,Grocery,512.0599396378269,1,2023,"[40, 50)"
13b6efa9,Melanie Kidd,53,Female,East,2023-01-14,Home Decor,884.0,1,2023,"[50, 60)"
fd2198ad,Douglas Turner,57,Male,West,2023-01-15,Clothing,351.34,1,2023,"[50, 60)"
db1781ca,Jason Mendoza,41,Male,East,2023-01-16,Electronics,875.46,1,2023,"[40, 50)"
bd03bfc4,Connie Smith DDS,20,Female,East,2023-01-17,Books,406.89,1,2023,"[20, 30)"
0cdb98df,Paul Miranda,39,Male,South,2023-01-18,Books,332.03,1,2023,"[30, 40)"
295a094b,Michael Wong,19,Male,West,2023-01-19,Grocery,666.62,1,2023,"[10, 20)"
f3524c17,Lisa Morris,41,Male,North,2023-01-20,Books,361.96,1,2023,"[40, 50)"
ab820a2b,Susan Hampton,61,Male,East,2023-01-21,Home Decor,648.7,1,2023,"[60, 70)"
85df8609,Sarah Frank,47,Female,West,2023-01-22,Home Decor,629.34,1,2023,"[40, 50)"
31707e21,Michael Jones,55,Female,South,2023-01-23,Grocery,585.27,1,2023,"[50, 60)"
cbc90d94,Brenda Gallagher MD,19,Male,North,2023-01-24,Home Decor,411.4,1,2023,"[10, 20)"
ebd568f7,Patrick King,38,Male,West,2023-01-25,Clothing,571.07,1,2023,"[30, 40)"
3dcf8e26,Judith Moody MD,50,Female,North,2023-01-26,Grocery,616.66,1,2023,"[50, 60)"
3df8a8ca,Jordan Henry,29,Female,North,2023-01-27,Clothing,568.4,1,2023,"[20, 30)"
dce176c8,Vicki Alvarez,39,Female,North,2023-01-28,Electronics,472.2,1,2023,"[30, 40)"
ba5a7ebf,William Mcdaniel,61,Female,East,2023-01-29,Clothing,63.93,1,2023,"[60, 70)"
61ce2310,Jennifer Hardy,42,Male,East,2023-01-30,Electronics,607.71,1,2023,"[40, 50)"
813bec8f,Brenda Pennington DDS,66,Male,South,2023-01-31,Electronics,210.02,1,2023,"[60, 70)"
3e94628a,Mr. Christopher Pugh,44,Female,South,2023-02-01,Clothing,660.45,2,2023,"[40, 50)"
275e5dca,Sarah Rodriguez,59,Male,West,2023-02-02,Grocery,771.38,2,2023,"[50, 60)"
fb4d13ed,Todd Henry,45,Female,South,2023-02-03,Home Decor,525.42,2,2023,"[40, 50)"
063250b3,Christine Benson,33,Female,North,2023-02-04,Home Decor,565.25,2,2023,"[30, 40)"
6982d752,Michele Gregory,32,Female,North,2023-02-05,Electronics,953.9,2,2023,"[30, 40)"
c1e07298,Angela Bowman,64,Male,East,2023-02-06,Electronics,512.0599396378269,2,2023,"[60, 70)"
5cde4a23,Dana Wilson,68,Female,North,2023-02-07,Grocery,918.52,2,2023,"[60, 70)"
6d6ef9b5,Emily Jimenez,61,Male,West,2023-02-08,Books,823.08,2,2023,"[60, 70)"
3f63e96e,Crystal Travis,69,Female,North,2023-02-09,Clothing,153.47,2,2023,"[60, 70)"
c4c5e860,Pamela Vargas,20,Female,North,2023-02-10,Electronics,191.54,2,2023,"[20, 30)"
ee9f956d,Travis Hernandez,54,Male,West,2023-02-11,Home Decor,550.29,2,2023,"[50, 60)"
54f79377,Amanda Simmons,68,Other,South,2023-02-12,Grocery,283.77,2,2023,"[60, 70)"
ceb2b4df,Meagan Meadows,24,Female,South,2023-02-13,Clothing,502.86,2,2023,"[20, 30)"
2bb0950b,Michael Estes,38,Male,West,2023-02-14,Grocery,424.65,2,2023,"[30, 40)"
86eb43f8,Samantha Johnson,26,Male,East,2023-02-15,Clothing,571.94,2,2023,"[20, 30)"
665698b3,Mr. Joseph Edwards MD,56,Male,North,2023-02-16,Clothing,759.53,2,2023,"[50, 60)"
c99858ed,Dawn Baker,35,Male,West,2023-02-17,Electronics,729.72,2,2023,"[30, 40)"
9e5fc3f6,Donald Wright,21,Male,North,2023-02-18,Grocery,545.17,2,2023,"[20, 30)"
aadfa3af,Danielle Zimmerman,42,Female,East,2023-02-19,Grocery,831.27,2,2023,"[40, 50)"
d231e36a,Wendy Chandler,31,Male,North,2023-02-20,Home Decor,459.32,2,2023,"[30, 40)"
3a023b65,Stacy Cole,67,Male,West,2023-02-21,Home Decor,901.88,2,2023,"[60, 70)"
355e5c48,John Williams,26,Female,North,2023-02-22,Electronics,117.72,2,2023,"[20, 30)"
7a74ee1d,Albert Fitzgerald,43,Male,South,2023-02-23,Electronics,956.93,2,2023,"[40, 50)"
39f789d2,David Klein,19,Female,East,2023-02-24,Books,671.96,2,2023,"[10, 20)"
84a67370,Shawn Sullivan,37,Male,East,2023-02-25,Home Decor,411.07,2,2023,"[30, 40)"
17929092,Keith Clark,45,Male,East,2023-02-26,Clothing,237.3,2,2023,"[40, 50)"
e5201f4c,Sara Edwards,64,Female,West,2023-02-27,Grocery,505.22,2,2023,"[60, 70)"
fb02c08d,Ashley Miller,24,Female,East,2023-02-28,Electronics,234.83,2,2023,"[20, 30)"
bb02bbee,Deborah Cooper,61,Female,South,2023-03-01,Grocery,208.02,3,2023,"[60, 70)"
49537005,Melissa Bryant,25,Female,West,2023-03-02,Grocery,636.48,3,2023,"[20, 30)"
54106425,Michael Cooper,64,Female,South,2023-03-03,Books,546.93,3,2023,"[60, 70)"
3f81e7f6,Melissa Jones,52,Male,North,2023-03-04,Home Decor,686.59,3,2023,"[50, 60)"
21d0b9eb,Ryan Rice,31,Male,North,2023-03-05,Electronics,933.13,3,2023,"[30, 40)"
4637bf8b,Rachel Hayes,34,Female,North,2023-03-06,Grocery,555.65,3,2023,"[30, 40)"
79410238,Christopher Allen,53,Female,North,2023-03-07,Electronics,601.89,3,2023,"[50, 60)"
f4155ca8,Andrew Moore,67,Other,South,2023-03-08,Clothing,135.15,3,2023,"[60, 70)"
5117d51f,Jason Austin,57,Male,West,2023-03-09,Books,731.75,3,2023,"[50, 60)"
29dd1223,Angela Vasquez,21,Male,West,2023-03-10,Clothing,429.91,3,2023,"[20, 30)"
35048569,Jessica Lopez,19,Female,East,2023-03-11,Electronics,977.89,3,2023,"[10, 20)"
cb1927c2,Karen Morgan,23,Male,South,2023-03-12,Electronics,832.02,3,2023,"[20, 30)"
5acc0cf2,Natalie Parker,59,Female,North,2023-03-13,Home Decor,546.36,3,2023,"[50, 60)"
da5d89b4,John Jackson,21,Female,South,2023-03-14,Grocery,167.06,3,2023,"[20, 30)"
15a33464,Ryan Steele,46,Male,East,2023-03-15,Grocery,866.45,3,2023,"[40, 50)"
77266995,Steven Walters,35,Female,East,2023-03-16,Clothing,809.79,3,2023,"[30, 40)"
0357219c,Stacey Palmer,43,Female,South,2023-03-17,Books,225.36,3,2023,"[40, 50)"
78546c8b,David Hicks,61,Male,South,2023-03-18,Grocery,330.51,3,2023,"[60, 70)"
ec44146d,Kimberly Russell,51,Female,South,2023-03-19,Home Decor,803.74,3,2023,"[50, 60)"
2a00eb93,Savannah Sharp,27,Female,West,2023-03-20,Clothing,225.97,3,2023,"[20, 30)"
b550ed87,Ms. Whitney Green,53,Female,North,2023-03-21,Clothing,921.86,3,2023,"[50, 60)"
9cb7d971,Matthew Kramer MD,31,Male,South,2023-03-22,Home Decor,453.3,3,2023,"[30, 40)"
41efde6b,Mary Rivera,48,Female,South,2023-03-23,Books,132.69,3,2023,"[40, 50)"
3f3a6e51,Erin Jones,65,Male,South,2023-03-24,Home Decor,824.96,3,2023,"[60, 70)"
50a4cd9c,Pamela Neal,32,Male,East,2023-03-25,Books,404.83,3,2023,"[30, 40)"
